,title,video_id,video_date,video_view,video_like
164,[던파] 진 메카닉 플레이 영상,C-WDnUn7ZGQ,2020-12-20T10:16:07Z,124727,514
165,[던파] 진 런처 플레이 영상,v75nVcnvXRU,2020-12-20T10:16:02Z,89922,252
166,[던파] 진 레인저 플레이 영상,0zMi8AXjBME,2020-12-20T10:15:58Z,123895,418
167,[던파] 검은 연옥 - 플레이 영상,UcVkgzRdB3g,2020-12-20T10:15:50Z,28578,58
168,[던파] 검은 연옥 - 스토리 티징,m_T8WWU5cfc,2020-12-20T10:15:43Z,19562,51
169,던전앤파이터 유니버스 페스티벌,rTIZ9m6BHsg,2020-12-20T10:15:36Z,14790,39
170,[던파BGM] (구) 전쟁지역 (그렌셀로스),U0rhY77sIPo,2020-12-18T09:14:13Z,23384,61
171,[던파BGM] (구)스톰패스,KnviGxMfkJI,2020-12-18T09:14:03Z,36684,230
172,[던파BGM] 고통의 마을 레쉬폰,KPG2_HSb9kM,2020-12-16T08:34:59Z,94194,671
173,[던파] 고통의 마을 레쉬폰 (2016 컬쳐어택 히든 게스트),dcnO6JEY3XA,2020-12-16T08:34:59Z,21475,209
174,[던파BGM] 고통의 마을 레쉬폰(빗소리),WYyI6quJRPs,2020-12-16T08:34:59Z,23325,252
175,[던파BGM] 고통의 마을 레쉬폰 보스 '검은 질병의 디레지에',N6aygH-7LTs,2020-12-16T08:34:59Z,23268,74
176,[던파BGM] 왕의 유적,Eu0OHzEUBF8,2020-12-15T09:57:29Z,58114,258
177,[던파BGM] 노이어페라,QkFcpFfFhOA,2020-12-15T09:57:28Z,27279,81
178,[던파BGM] (구)알프라이라 임시 주둔지,KqkfBXeFleM,2020-12-15T09:57:28Z,53106,287
179,[던파BGM] (구)언더풋,xOd9vmMNQNE,2020-12-15T09:57:28Z,26718,88
180,"[던파BGM] (구)미들오션 천해, 심해",XQwQuWxQ8Fc,2020-12-14T08:54:36Z,21960,85
181,[던파BGM] (구)세력전,3boI2jVn1iI,2020-12-14T08:54:36Z,16733,41
182,[던파BGM] (구)헨돈마이어,f7-n5HgDrCI,2020-12-14T08:54:35Z,34346,204
183,[던파BGM] (구)웨스트코스트,3kPOTmIr49o,2020-12-14T08:54:35Z,39515,246
184,[던파BGM] 달빛 주점,zJu3_Td7GCQ,2020-12-14T08:54:35Z,31828,151
185,"[던파BGM] (구) 아몬/세파로타 상층, 하층",56bPOJ73SaM,2020-12-14T08:54:35Z,22426,100
186,[던파BGM] (구)달빛 주점,K5S-iwd7JEc,2020-12-14T08:54:35Z,24963,40
187,[던파BGM] 빌마르크 제국 실험장,ssQ0pMq-uxY,2020-12-10T08:59:08Z,74883,353
188,[던파BGM] (구) 그란 플로리스,dXpL4lsadCg,2020-12-10T08:41:29Z,36591,217
189,[던파BGM] 세리아의 방,SVPGQfmgqjo,2020-12-10T08:41:29Z,64607,444
190,[던파BGM] (구) 엘븐가드,Ncr9JQbHm2M,2020-12-10T08:41:29Z,45039,270
191,[하이라이트] 레벨업X던전앤파이터 : Untact Tournament S2 TOP 10 [던파],yIXUSma0nTA,2020-12-09T12:41:55Z,2707,21
192,[던파BGM] 캐릭터 선택창 (시즌 1 ~ ),oqNqgx0X3wE,2020-12-09T03:31:46Z,131701,991
193,[던파BGM] 쌍둥이 골렘의 배신,d3vyp8Uyp2I,2020-12-08T07:43:49Z,4966,4
194,[던파BGM] 성지 쿠룬차드 '거룡 : 네이트람',A2-nBBNF9oM,2020-12-08T07:43:49Z,4862,8
195,[던파BGM] 네이트람의 파수꾼 보스 '드래곤 스톤',n-Uf43i1C88,2020-12-08T07:43:49Z,4902,8
196,[던파BGM] 네이트람의 파수꾼,LWeSofQpLJo,2020-12-08T07:43:49Z,6654,14
197,[던파BGM] 쌍둥이 골렘의 배신 보스 '블레이즈 스톤',dT7LsuchYQk,2020-12-08T07:43:49Z,3991,6
198,[던파BGM] 쿠룬달,CbiFUKe9FAo,2020-12-08T07:43:49Z,7387,11
199,[던파BGM] 유폐의 나락 - 제4 나락 보스 '미치광이 엘티스',5ChHegP-TYo,2020-12-07T09:31:13Z,9333,34
200,[던파BGM] 비탄의 탑,-plVI0H5d-k,2020-12-07T07:32:58Z,16068,60
201,[던파BGM] 현혹의 탑,e5DGBapgvzQ,2020-12-07T07:32:58Z,19795,83
